,description,label
0,"Translucent in color, silky in the mouth, this Mendocino-grown Pinot shows ripe, forward flavors and crisp acidity. You'll find pie-filling cherries and rhubarb, with a cola and root beer soda finish.",0
1,"On the palate, this wine is rich and complex, with flavors of dried cherry, cola, licorice, red currant and sandalwood that finish bone dry. It has lots of acidity and some sandpaper-like tannins. This should begin to develop bottle-age notes after 2016.",1
2,"The producer blends 57% Chardonnay from the Maldonado Vineyard with 39% Sauvignon Blanc and 4% Viognier for this fresh, floral white. On the palate, apple and lemon flavors are buttressed by a core of laser-like acidity. A fresh pear note lasts long into the finish, proving the wine's ability to be both creamy and crisp.",1
3,"Pure Baga in all its glory, packed with dry and dark tannins and a brooding character that is mitigated by the rich dark plum and blackberry jelly flavors. It's a wine that is probably at its peak, still with its tannins and structure although now with rich fruits and intense final acidity. Drink now and until 2022.",1
4,"Think of Subsídio as a contribution rather than as a subsidy, says the producer—in this case a contribution to a meal. The wine is soft and fully ripe. It has generous tannins and black fruits. The rich wine, with its juicy aftertaste, is ready to drink.",0
5,"Watermelon, cantaloupe and peach aromas are just as they should be, while the palate is whole, fresh and full of tangerine and nectarine. Compact, defined and complete, with a smooth, light finish. Nothing miraculous but great for summer sipping.",0
6,"There is an important element of wood here, along with a ripe, creamy texture. By contrast, the structure is mineral, lifted with grapefruit flavors. The wood supports this fruit, giving a complete, mouth filling wine.",1
7,"Fresh and straightforward on the nose, with tropical fruit aromas. The palate is pulpy but good, with flavors of fruit punch and melon. Turns a little sweet and pithy on the finish, but holds it together. Perfectly good for the price.",0
8,"Peach and a hint of fresh lettuce are the key aromas to a basic bouquet. This feels solid but pithy, while orange and other generic citrus flavors turn slightly bitter on the finish.",0
9,"This wine's incredibly distinct nose of pure fruit shows plump raspberries alongside delicate grapeseed, a pinch of baking spice and a whiff of yeast. Though the wine is light in color and frame, the palate shows lots of earth, tobacco smoke, cherry pits, bouquet garni and rosemary, with refreshing wild berry fruit.",1
10,"Pomegranate and cranberry aromas gain complexity from wet slate and wild-thyme touches. The palate blends tangy fruit with earthy herbs, showing sage, dill, Earl Gray tea and fennel against a dried berry backdrop.",0
11,"With 20 acres—the smallest of the Margaux classified growths—Ferrière has produced a 2010 of considerable weight and structure. It's dark and serious, with a solid flavor of black plum skin and dense acidity on the finish. Keep this wine for at least seven years for it to start softening.",1
12,"From the Kellerberg vineyard, this is a powerfully rich wine, with its cream and nutmeg flavors complemented by creamed baked apples. There is strong pepper and spice character here.",1
13,This is both fruity and deliciously crisp. It has the light touch of the vintage—red fruits attractively balancing with the acidity and the tangy lemon edge. The aftertaste is both fruity and herbal. Drink now.,0
14,"Still young and fruity, this wine is totally integrated, harmoniously blending the red fruits with a tight texture and fresh acidity. Although it is drinkable now, it will benefit from bottle age, so best drink from 2017.",1
15,"What a clean, pretty fruit-and-flowers nose this has, and theflavors don't disappoint. Melon and citrus dominate, but it's all ripe fruit and not the least bit lean. The tail end is lengthy and layered, if maybe a bit chalky. But all in all this wine delivers the goods with a smile.",0
16,"Toast and mocha scents and flavors surround a core of tart red berries. More barrel influence comes out as the wine breathes—clove, spice and smoke—as it rolls into a tightly-wrapped, tannic finish. Give this a lot of aeration, or tuck it away for another five or six years.",1
17,"This limestone-reared wine aspires to be a Chardonnay leader in Chile, but so far its track record lags behind its desires. This version smells minerally like a multivitamin, but not fruity. A blocky palate is oily in texture, while this tastes briny and of sour citrus and stone fruits. A savory finish tastes oaky and muddled.",0
18,"Black licorice and orange zest star in this high-toned wine from a singular clone. It's moderate in acidity, with a strong presence of fresh lemon that lingers through the finish.",0
19,"The aromas of fresh herbs, tobacco and barrel spice seem quite locked-up at present on this dark purple-colored wine. The full-bodied dark fruit flavors and lightly chewy tannins show a mix of grace and power.",1
20,"Aromas of crushed dark-skinned berry, violet, clove and a hint of chopped herb lead the nose. The lean palate offers raw raspberry, sour cherry and ground pepper alongside firm tannins. A note of bitter walnut closes the finish.",0
